timestamp,visitorid,event,itemid,transactionid
1761568839474,64,view,1059,
1763709655474,10,view,1050,
1759292927474,98,addtocart,1186,
1758599025474,54,view,1063,
1764351925474,37,addtocart,1101,
1764693591474,7,addtocart,1026,
1759907536474,99,view,1074,
1762616368474,52,view,1191,
1765747189474,82,view,1080,
1764030922474,5,view,1128,
1762739868474,27,view,1142,
1764390756474,65,view,1141,
1763588997474,15,view,1010,
1760960399474,73,view,1064,
1758887120474,66,view,1162,
1760414555474,92,view,1103,
1760999472474,17,view,1008,
1763585840474,16,view,1024,
1764484395474,27,view,1011,
1764834775474,6,view,1067,
1763946678474,44,view,1095,
1763555284474,27,view,1021,
1764600513474,81,view,1020,
1760838131474,43,view,1072,
1761769382474,53,view,1089,
1764170645474,38,view,1153,
1759067584474,19,addtocart,1011,
1760088844474,93,view,1008,
1759306637474,56,view,1040,
1760382178474,25,view,1098,
1762765271474,56,view,1172,
1763405678474,47,view,1030,
1759418039474,1,addtocart,1091,
1763646533474,96,view,1105,
1760750512474,41,view,1079,
1763455939474,14,view,1093,
1765547660474,19,view,1043,
1758971029474,25,view,1184,
1765550980474,97,view,1184,
1764999820474,64,transaction,1089,tx_72230
1763068267474,16,view,1148,
1758802548474,4,view,1024,
1764784237474,13,view,1115,
1765468832474,1,view,1102,
1759656925474,97,view,1051,
1762724684474,70,view,1043,
1765972014474,32,view,1029,
1760938271474,6,view,1121,
1764082980474,69,view,1084,
1760330641474,17,transaction,1002,tx_60704
1760825668474,2,transaction,1193,tx_28241
1760487033474,5,view,1111,
1762264242474,7,transaction,1041,tx_15461
1764496010474,32,view,1140,
1762191044474,33,addtocart,1058,
1761772293474,33,view,1123,
1764160777474,85,view,1102,
1762562784474,50,transaction,1181,tx_80855
1760261916474,79,addtocart,1129,
1761126832474,62,view,1109,
1762727365474,33,view,1144,
1764713580474,8,view,1131,
1764378818474,57,view,1064,
1763138663474,80,view,1022,
1763081029474,76,view,1180,
1761098433474,99,transaction,1197,tx_70008
1764544461474,89,view,1146,
1759704120474,11,view,1104,
1762727099474,74,view,1056,
